;adresas;kaina;kaina_kv;plotas;kambariai
151;;70000.0;1343.0;52.11;2.0
152;;81500.0;1990.0;40.95;2.0
153;;192900.0;3445.0;56.0;3.0
154;;95000.0;4556.0;20.85;2.0
155;;85000.0;2237.0;38.0;2.0
156;;119000.0;1486.0;80.06;4.0
157;;85000.0;1838.0;46.25;2.0
158;;167000.0;4039.0;41.35;2.0
159;;70000.0;2059.0;34.0;2.0
160;;72500.0;2553.0;28.4;2.0
161;;95700.0;2393.0;40.0;2.0
162;;48500.0;1940.0;25.0;1.0
163;;104900.0;2498.0;42.0;2.0
164;;249615.0;4300.0;58.05;2.0
165;;74600.0;1157.0;64.47;3.0
166;;73800.0;1142.0;64.61;3.0
167;;220000.0;2734.0;80.48;3.0
168;;44800.0;1896.0;23.63;1.0
169;;149900.0;3885.0;38.58;2.0
170;;110600.0;1964.0;56.3;3.0
171;;26000.0;565.0;46.0;2.0
172;;155000.0;3946.0;39.28;1.0
173;;109999.0;2275.0;48.35;2.0
174;;289999.0;3671.0;79.0;3.0
175;;165000.0;2686.0;61.44;3.0
176;;255000.0;2260.0;112.81;3.0
177;;81000.0;1136.0;71.3;3.0
178;;91000.0;2459.0;37.0;1.0
179;;25000.0;1058.0;23.63;1.0
180;;265000.0;3136.0;84.5;3.0
181;;430000.0;5890.0;73.0;3.0
182;;287000.0;3706.0;77.45;3.0
183;;89900.0;1404.0;64.01;3.0
184;;110000.0;7161.0;15.36;1.0
185;;155000.0;2686.0;57.7;2.0
186;;91000.0;1287.0;70.69;4.0
187;;95000.0;2111.0;45.0;2.0
188;;69500.0;1565.0;44.4;2.0
189;;199000.0;3980.0;50.0;2.0
190;;78000.0;1926.0;40.5;1.0
191;;23000.0;688.0;33.45;2.0
192;;72000.0;2118.0;34.0;2.0
193;;52000.0;1042.0;49.9;2.0
194;;19900.0;552.0;36.08;1.0
195;;62000.0;1161.0;53.42;2.0
196;;16500.0;807.0;20.44;1.0
197;;89500.0;1462.0;61.2;3.0
198;;53000.0;1023.0;51.82;2.0
199;;196000.0;2781.0;70.48;2.0
200;;24700.0;682.0;36.2;1.0
201;;28000.0;490.0;57.16;3.0
202;;50000.0;1000.0;50.0;2.0
203;;55000.0;1082.0;50.81;3.0
204;;275000.0;5896.0;46.64;3.0
205;;109000.0;2124.0;51.33;2.0
206;;76800.0;1274.0;60.27;3.0
207;;55800.0;1250.0;44.63;2.0
208;;65800.0;1161.0;56.69;3.0
209;;123000.0;1593.0;77.21;4.0
210;;72000.0;1241.0;58.0;3.0
211;;440000.0;4000.0;110.0;4.0
212;;29000.0;517.0;56.07;3.0
213;;58000.0;870.0;66.69;3.0
214;;114900.0;2128.0;54.0;2.0
215;;300000.0;6512.0;46.07;2.0
216;;38000.0;2375.0;16.0;1.0
217;;289000.0;2939.0;98.32;3.0
218;;239000.0;4476.0;53.4;3.0
219;;195000.0;4875.0;40.0;2.0
