;adresas;kaina;kaina_kv;plotas;kambariai
75;Vilnius, Pašilaičiai, Pavilnionių g.;133500.0;2880.0;46.36;2.0
76;Klaipėda, Labrenciškės, Kretingos g.;99850.0;2504.0;39.87;2.0
77;Klaipėda, Labrenciškės, Kretingos g.;168624.0;2150.0;78.43;3.0
78;Klaipėda, Labrenciškės, Kretingos g.;106075.0;2297.0;46.17;2.0
79;Vilnius, Lazdynėliai, Žaibo g.;166000.0;3773.0;44.0;2.0
80;Palanga, Palanga, Virbališkės tak.;187550.0;3907.0;48.0;2.0
81;Palanga, Sergiškių g.;79000.0;3160.0;25.0;1.0
82;Vilnius, Naujamiestis, Naugarduko g.;135000.0;2813.0;48.0;2.0
83;Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g.;199000.0;3044.0;65.38;3.0
84;Vilnius, Paupys, Krivūlės g.;184000.0;5111.0;36.0;2.0
85;Vilnius, Naujininkai, Naujininkų g.;115000.0;2091.0;55.0;2.0
86;Kaunas, Panemunė, Vaidoto g.;38000.0;1719.0;22.11;2.0
87;Kaunas, Panemunė, Vaidoto g.;37000.0;1576.0;23.47;1.0
88;Vilnius, Viršuliškės, Viršilų g.;202000.0;3961.0;51.0;3.0
89;Vilnius, Žvėrynas, Stumbrų g.;207940.0;3999.0;52.0;2.0
90;Vilnius, Karoliniškės, Loretos Asanavičiūtės g.;106300.0;3082.0;34.49;2.0
91;Vilnius, Justiniškės, Taikos g.;130300.0;3007.0;43.33;2.0
92;Trakų r. sav., Lentvario m., Naujosios Sodybos g.;124700.0;1911.0;65.24;3.0
93;Vilnius, Žvėrynas, Stumbrų g.;210900.0;4102.0;51.42;3.0
94;Vilnius, Senamiestis, Vašingtono a.;370000.0;3700.0;100.0;4.0
95;Palanga, Palanga, Paliepgirių kel.;239000.0;4109.0;58.17;3.0
96;Kaunas, Dainava, Partizanų g.;72900.0;1726.0;42.24;2.0
97;Vilnius, Antakalnis, Karių Kapų g.;309000.0;3786.0;81.62;2.0
98;Vilnius, Užupis, Filaretų g.;192502.0;5800.0;33.19;2.0
99;Alytus, Dainava, Vilties g.;59000.0;855.0;69.03;4.0
100;Telšių m., Ežero g.;69000.0;1895.0;36.41;2.0
101;Vilnius, Naujamiestis, Aguonų g.;149000.0;3641.0;40.92;2.0
102;Kaunas, Žemutiniai Kaniūkai, Raudondvario pl.;192500.0;2070.0;93.0;4.0
103;Kaunas, Žemieji Šančiai, Kranto al.;137500.0;2191.0;62.75;3.0
104;Kaunas, Vilijampolė, Brastos g.;389000.0;3687.0;105.51;4.0
105;Vilnius, Pašilaičiai, Laisvės pr.;288000.0;2382.0;120.93;4.0
106;Kaunas, Senamiestis, Pilies g.;499999.0;6250.0;80.0;3.0
107;Vilnius, Šnipiškės, Šatrijos g.;229000.0;5205.0;44.0;2.0
108;Vilnius, Lazdynai, M. Mironaitės g.;159900.0;3476.0;46.0;2.0
109;Palanga, Palanga, Vanagupės g.;355000.0;6928.0;51.24;2.0
110;Vilnius, Senamiestis, Palangos g.;500000.0;3378.0;148.0;4.0
111;Palanga, Vanagupės g.;299000.0;3462.0;86.36;4.0
112;Vilnius, Senamiestis, J. Basanavičiaus g.;490000.0;3141.0;156.0;4.0
113;Jonavos m., Geležinkelio g.;70000.0;963.0;72.67;3.0
114;Kaunas, Žaliakalnis, Šimkaičių g.;195000.0;2786.0;70.0;3.0
115;Klaipėda, Centras, Kuosų g.;139000.0;2206.0;63.0;2.0
